Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41567,Attock,Punjab,Attock,43,"17 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,45,"17 May, 2025"
41562,BANNU,KPK,BANNU,43,"17 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"17 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,41,"17 May, 2025"
41506,CHITRAL,KPK,CHITRAL,35,"17 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,47,"17 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,45,"17 May, 2025"
41743,DADU,Sindh,DADU,47,"17 May, 2025"
41508,DIR,KPK,DIR,35,"17 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,43,"17 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,38,"17 May, 2025"
41516,GILGIT,GB,GILGIT,36,"17 May, 2025"
41757,GWADAR,Balochistan,GWADAR,38,"17 May, 2025"
41505,HUNZA,GB,HUNZA,31,"17 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,41,"17 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,40,"17 May, 2025"
41598,JHELUM,Punjab,JHELUM,42,"17 May, 2025"
41756,JIWANI,Balochistan,JIWANI,40,"17 May, 2025"
43534,Jammu,Kashmir,Jammu,40,"17 May, 2025"
41696,KALAT,Balochistan,KALAT,34,"17 May, 2025"
41780,KARACHI,Sindh,KARACHI,36,"17 May, 2025"
41640,LAHORE,Punjab,LAHORE,43,"17 May, 2025"
43535,Leh,Kashmir,Leh,18,"17 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,27,"17 May, 2025"
41786,MITHI,Sindh,MITHI,44,"17 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,"17 May, 2025"
41675,MULTAN,Punjab,MULTAN,44,"17 May, 2025"
41573,MURREE,Punjab,MURREE,27,"17 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,39,"17 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,45,"17 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,47,"17 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,42,"17 May, 2025"
43541,Pulwama,Kashmir,Pulwama,30,"17 May, 2025"
41660,QUETTA,Balochistan,QUETTA,38,"17 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,29,"17 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,38,"17 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,44,"17 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,38,"17 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,43,"17 May, 2025"
41697,SIBBI,Balochistan,SIBBI,45,"17 May, 2025"
41517,SKARDU,GB,SKARDU,29,"17 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,47,"17 May, 2025"
43543,Shopian,Kashmir,Shopian,30,"17 May, 2025"
43536,Srinagar,Kashmir,Srinagar,31,"17 May, 2025"
41783,THATTA,Sindh,THATTA,38,"17 May, 2025"
41738,TURBAT,Balochistan,TURBAT,48,"17 May, 2025"
41520,ASTORE,GB,ASTORE,27,"16 May, 2025"
41535,Abbotabad,KPK,Abbotabad,34,"16 May, 2025"
43542,Anantnag,Kashmir,Anantnag,31,"16 May, 2025"
41567,Attock,Punjab,Attock,43,"16 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,45,"16 May, 2025"
41562,BANNU,KPK,BANNU,42,"16 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"16 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,41,"16 May, 2025"
